initial_state,full_control_sequence
"[-0.16527475717497558, 0.15659989352354964, -0.00838044073150461, 0.08512859868946954]","[-0.01228709 -0.03225109 -0.04564964 -0.05349637 -0.05720557 -0.05801981
 -0.05689647 -0.05453308 -0.05142318 -0.04790958]"
"[0.24737115453717667, -0.3194412552251439, 0.07163901010120853, -0.1631279001577736]","[-0.92498504 -0.31847008  0.01631804  0.20046806  0.29581967  0.33703987
  0.34502245  0.33296058  0.30938762  0.27986145]"
"[0.0497380148559442, -0.19185533527041887, 0.017575198639832756, -0.008656849365867192]","[-0.47210449 -0.11526547  0.07376545  0.1719924   0.21796271  0.23286785
  0.22926159  0.2149516   0.19491463  0.17233983]"
"[0.09105427100965768, 0.2315834761542871, 0.014334880879497233, 0.24475710027558267]","[-0.61582831 -0.39998141 -0.27572302 -0.19626767 -0.14151201 -0.10194735
 -0.07253774 -0.05030918 -0.03334554 -0.02033469]"
"[0.2523176526445326, -0.09555701790659493, -0.0836103980578902, -0.10685721354675495]","[ 1.00000001  1.00000001  0.99999999  0.3076648  -0.11607698 -0.3369248
 -0.43993998 -0.47268284 -0.46365072 -0.43066947]"
"[0.11700993568990758, -0.03317284385587327, 0.09653386337613108, 0.1858596190627253]","[-1.00000001 -1.00000001 -1.00000001 -1.00000001 -1.00000001 -1.00000001
 -0.57057678  0.24857687  0.66777235  0.86177388]"
"[-0.21491157995397298, -0.13067315286677528, 0.0989444318340605, -0.1746665302401918]","[-1.00000001 -0.84285923 -0.17007684  0.18972325  0.37434772  0.45608274
  0.47624613  0.45996746  0.42309538  0.37577205]"
"[-0.031270427689538416, 0.44569643740127407, 0.029916300596909487, 0.14543249699333471]","[-0.35983645 -0.37935805 -0.3744725  -0.35381243 -0.32401555 -0.28977409
 -0.2542371  -0.21942403 -0.18656068 -0.15632955]"
"[0.19052048473436572, 0.10056134367742808, 0.05370293719741277, -0.2818118403826389]","[ 0.2224524  -0.04661133 -0.16957836 -0.22019718 -0.23275493 -0.2247177
 -0.20574234 -0.18148773 -0.15536907 -0.12945048]"
"[-0.06314635705859897, 0.08589747984615759, 0.02086353589447594, -0.21512169638490164]","[ 0.38751457  0.11889231 -0.01803642 -0.08835186 -0.1222569  -0.13518753
 -0.13577452 -0.12918396 -0.11863985 -0.10619112]"
"[-0.10396135262218345, -0.19180687186274636, -0.02209423756800409, 0.17199220914042085]","[-0.4660002  -0.04667348  0.16263286  0.26256553  0.30186064  0.30644056
  0.29122353  0.26526428  0.23420855  0.20159107]"
"[-0.2890366340843492, 0.0640799139655811, -0.04871126456807166, 0.010511371780575318]","[ 0.66761915  0.34575986  0.15928677  0.04686374 -0.02164539 -0.06263487
 -0.08583752 -0.09740522 -0.1013802  -0.1004747 ]"
"[-0.2516531759797233, 0.08705986090082962, 0.01121915175461169, -0.1545793061044935]","[ 0.25749443  0.12639462  0.05481802  0.01256128 -0.01360297 -0.03006654
 -0.04027479 -0.04627862 -0.0493941  -0.05050884]"
"[-0.23060914571035382, -0.13610413140929162, -0.0946180337857314, 0.2279840937790764]","[0.52334589 0.3977578  0.30212194 0.22835622 0.17091395 0.12586086
 0.09034233 0.062251   0.04000805 0.02241435]"
"[0.05130715317606649, 0.3404253089510416, -0.006819344059557905, 0.1649568207294304]","[ 0.07779185 -0.15433187 -0.26941466 -0.31822915 -0.32836026 -0.31597115
 -0.29101266 -0.25976227 -0.22619432 -0.19278814]"
"[-0.2472863872736154, 0.3324806488798576, -0.04128936401914744, 0.142002641603871]","[ 0.52143068  0.13355929 -0.07920811 -0.19408326 -0.25101125 -0.27262817
 -0.27267675 -0.25986803 -0.23984193 -0.21626682]"
"[0.2762622616765235, -0.34860566689117056, -0.06430462400069116, -0.17073872546805885]","[ 1.00000001  0.90493221  0.42706463  0.16043713  0.00992234 -0.07252772
 -0.11357283 -0.12914752 -0.12925057 -0.12031887]"
