initial_state,first_control
[-0.01164505  0.06512205  0.01118924 -0.00980469],-0.07202350716182321
[-0.00513285  0.05383383  0.01020877 -0.01061935],-0.06481249226517763
"[0.12737516710758895, 0.2581918827812565, -1.5711223079334369e-06, 0.22144856287121567]",-0.263505919196576
[0.15319436 0.20558699 0.02214329 0.08990614],-0.27513436298331323
[0.17375305 0.15774478 0.0311339  0.02452304],-0.27227920093587865
[ 0.18952753  0.11369556  0.0335862  -0.00935074],-0.2574730001414678
[ 0.20089709  0.0737953   0.03265113 -0.02684262],-0.23491430273033542
[ 0.20827662  0.03847246  0.02996687 -0.03517959],-0.20826687373947236
[ 0.21212387  0.00791948  0.02644891 -0.03816552],-0.18021813974344383
[ 0.21291581 -0.01791852  0.02263236 -0.03798004],-0.15256883590349662
[ 0.21112396 -0.03927978  0.01883435 -0.03595032],-0.12643937120314053
[ 0.20719598 -0.05651715  0.01523932 -0.03291315],-0.10246506988897329
"[-0.1380104384510298, 0.4204621426929773, 0.012998514106114856, -0.09924816373475659]",0.5521939218428781
[-0.09596422  0.51667309  0.0030737   0.17318013],0.03989058076748581
[-0.04429692  0.51534335  0.02039171  0.17739017],-0.22195759425659667
[0.00723742 0.47106291 0.03813073 0.11662556],-0.3507510251200026
[0.05434371 0.40891537 0.04979328 0.05464001],-0.40434668083584774
[0.09523525 0.34127263 0.05525729 0.00748378],-0.41407125234241615
[ 0.12936251  0.27455359  0.05600566 -0.02397765],-0.3982417371589065
[ 0.15681787  0.21212668  0.0536079  -0.04287367],-0.3681274066465221
[ 0.17803054  0.1556698   0.04932053 -0.05271601],-0.3308417521168068
[ 0.19359752  0.10587296  0.04404893 -0.05640836],-0.2908962531183295
"[-0.2251138607814593, 0.4439443414078723, -0.02404618621285956, 0.23414379994423823]",0.12522190364435237
[-0.18071943  0.45220235 -0.00063181  0.19588939],-0.09821645314659253
[-0.13549919  0.42594764  0.01895713  0.12869489],-0.21763325414224405
[-0.09290443  0.3836969   0.03182662  0.06949032],-0.27583237549463685
[-0.05453474  0.33507455  0.03877565  0.02588049],-0.2969124115413429
[-0.02102728  0.28536225  0.0413637  -0.00343154],-0.2954306217825925
[ 0.00750894  0.23751589  0.04102055 -0.02173798],-0.28058056952633953
[ 0.03126053  0.19314834  0.03884675 -0.03218661],-0.2582978759473005
[ 0.05057537  0.15305823  0.03562809 -0.03726513],-0.23243358744377682
[ 0.06588119  0.11753953  0.03190158 -0.03879808],-0.20546415684663774
"[-0.29331952107208487, -0.06843302564904657, 0.05705283538497839, -0.1933487949503265]",-0.5784053303921209
[-0.30016282 -0.15709141  0.03771796 -0.275276  ],-0.14188462530438495
[-0.31587196 -0.16994496  0.01019036 -0.21501697],0.09103790185736108
[-0.33286646 -0.14757739 -0.01131134 -0.13412307],0.21042471420006348
[-0.3476242  -0.10965979 -0.02472365 -0.06702025],0.2633698806328931
[-0.35859018 -0.06639197 -0.03142567 -0.01939606],0.27670825240552116
[-0.36522938 -0.02327816 -0.03336528  0.01142481],0.2667131701646116
[-0.36755719  0.01671542 -0.0322228   0.02969216],0.24361850876968313
[-0.36588565  0.05208789 -0.02925358  0.03920345],0.21395314167082544
[-0.36067686  0.08221709 -0.02533324  0.04287802],0.18186840168436977
"[0.2763687428370502, 0.406054584454968, 0.05749895346754348, -0.1473414122863014]",0.19680761265110186
[0.3169742  0.44981349 0.04276481 0.10294508],-0.2403648456189584
[0.36195555 0.40935959 0.05305932 0.10655795],-0.44222263446249854
[0.40289151 0.33569592 0.06371512 0.05234725],-0.5212045679213114
[ 0.4364611   0.25186232  0.06894984 -0.00119004],-0.5328828277505313
[ 0.46164733  0.16883062  0.06883084 -0.03989892],-0.5072885902883016
[ 0.47853039  0.09193132  0.06484094 -0.06356579],-0.46182885677581265
[ 0.48772353  0.02362966  0.05848436 -0.07550903],-0.4070347919851114
[ 0.49008649 -0.03516645  0.05093346 -0.07925625],-0.3493788547005394
[ 0.48656985 -0.08442898  0.04300784 -0.07766309],-0.292802082918767
"[0.2626003792044848, 0.3012041506473703, -0.027845001808756695, -0.005698153427992125]",0.9904519095597558
[ 0.29272079  0.46834342 -0.02841482  0.34403021],0.18152029324439078
[0.33955514 0.48522468 0.0059882  0.31663663],-0.2372004427604375
[0.3880776  0.4348712  0.03765187 0.2054    ],-0.44600403637611097
[0.43156472 0.35593735 0.05819187 0.10026598],-0.5351743120726161
[0.46715846 0.26771929 0.06821846 0.02223447],-0.5542783930787778
[ 0.49393039  0.18031378  0.07044191 -0.0292029 ],-0.5325763201542707
[ 0.51196177  0.09903882  0.06752162 -0.05986441],-0.4881574150915772
[ 0.52186565  0.02653782  0.06153518 -0.07574112],-0.4324499888340934
[ 0.52451943 -0.03611622  0.05396107 -0.08166136],-0.37268442862085993
"[-0.1559824123047048, 0.03150282966701523, 0.05981962696343289, 0.04835996044740687]",-1.0000000072079882
[-0.15283213 -0.13488074  0.06465562 -0.22114386],-0.6239277842484944
[-0.1663202  -0.22857353  0.04254124 -0.29703519],-0.17130453359620146
[-0.18917756 -0.24418538  0.01283772 -0.23185805],0.07408737480526754
[-0.21359609 -0.2228406  -0.01034809 -0.14703693],0.20314492903056244
